Precinct,Registered
21067B183,657
21067B184,805
21067B185,945
21067B186,717
21067B187,704
21067B188,762
21067B189,881
21067B190,988
21067B191,600
21067B192,904
21067B195,1045
21067B196,757
21067B197,658
21067B198,825
21067B199,665
21067B200,588
21067B201,645
21067B202,906
21067B203,827
21067B204,472
21067B205,995
21067B206,763
21067B207,822
21067B208,618
21067B209,761
21067B210,1234
21067B211,929
21067B212,879
21067B213,504
21067B215,735
21067B216,738
21067B217,388
21067B218,755
21067B219,667
21067B221,634
21067B222,835
21067B223,767
21067B224,931
21067B225,845
21067B226,665
21067B227,711
21067B228,309
21067B229,635
21067B230,1236
21067B231,1306
21067B232,835
21067C102,407
21067C103,873
21067C105,1387
21067C109,614
21067C113,848
21067C114,708
21067C115,871
21067C118,746
21067C120,894
21067C121,662
21067C124,828
21067C125,852
21067C126,619
21067C127,795
21067C128,869
21067C129,468
21067C130,574
21067C132,861
21067C137,690
21067C138,879
21067C140,1048
21067C142,1152
21067C143,795
21067C144,1024
21067C148,703
21067C150,661
21067C151,530
21067C152,998
21067C153,731
21067C154,548
21067C155,604
21067C156,910
21067C157,928
21067C159,530
21067C160,478
21067C161,591
21067C162,971
21067C163,642
21067C164,904
21067C165,1119
21067C167,1159
21067C170,599
21067C171,685
21067C173,804
21067C174,881
21067C175,831
21067C176,759
21067C177,957
21067C178,624
21067C179,829
21067C180,941
21067C182,721
21067C183,592
21067C184,240
21067C185,255
21067C186,1032
21067C187,729
21067C188,711
21067C189,788
21067C190,1195
21067C191,947
21067C192,716
21067C193,515
21067C194,830
21067C195,750
21067C196,884
21067C197,621
21067C198,553
21067C199,543
21067C200,740
21067C201,524
21067C203,882
21067C205,816
21067C207,953
21067C208,649
21067C209,897
21067C210,825
21067C211,703
21067C212,847
21067C213,571
21067C215,608
21067C216,412
21067C217,647
21067C218,718
21067C219,632
21067C220,606
21067C221,714
21067C222,680
21067C223,882
21067C224,791
21067C225,791
21067C226,517
21067C227,916
21067C228,767
21067C229,436
21067C230,659
21067C231,722
21067C232,730
21067C233,701
21067C235,532
21067C236,495
21067C237,726
21067C238,991
21067C239,964
21069A101,647
21069A102,427
21069A103,687
21069B101,523
21069B102,944
21069B103,446
21069C101,799
21069C102,828
21069D102,976
21069D103,716
21069E101,590
21069E102,475
21069E103,434
21069E104,282
21069F102,395
21069F103,220
21069F104,671
21069F105,534
21071A101,583
21071A102,187
21071A103,764
21071A104,385
21071A105,918
21071A106,1394
21071A107,843
21071A109,1035
21071A110,607
21071A111,906
21071A113,863
21071A116,1131
21071B101,494
21071B102,954
21071B103,667
21071B104,661
21071B105,795
21071B106,1089
21071B108,613
21071B109,336
21071B112,831
21071C101,718
21071C102,625
21071C103,760
21071C104,1051
21071C105,246
21071C106,629
21071C107,619
21071C108,600
21071C109,564
21071C110,488
21071C111,440
21071D101,632
21071D102,932
21071D103,719
21071D104,860
21071D105,545
21071D106,949
21071D107,1034
21071D108,1115
21071D109,433
21071D110,399
21073A101,1095
21073A102,608
21073A103,570
21073A104,688
21073A105,658
21073A106,907
21073A107,628
21073A108,1042
21073B101,1121
21073B102,877
21073B103,596
21073B105,560
21073B106,1889
21073B108,870
21073B109,386
21073C101,508
21073C102,742
21073C105,456
21073C106,542
21073C107,1072
21073C108,1118
21073C109,1083
21073C110,703
21073D101,573
21073D102,1005
21073D103,473
21073D104,543
21073D105,546
21073D106,530
21073D107,411
21073D108,495
21073D109,1087
21073E101,1119
21073E102,1703
21073E108,919
21073E109,970
21073E110,849
21073F101,681
21073F102,437
21073F103,813
21073F104,993
21073F105,1238
21073F106,654
21073F108,1178
21075A101,666
21075A102,594
21075A103,307
21075B101,477
21075B102,659
21075B104,401
21075C102,572
21075C103,615
21075D101,576
21075D102,196
21075D103,354
21077A101,846
21077A102,782
21077B101,726
21077B102,820
21077C101,661
21077C102,838
21077D101,766
21077D102,848
21079A101,464
21079A103,1025
21079A104,1173
21079B101,901
21079B102,1054
21079B103,503
21079C102,1399
21079C103,1215
21079D101,845
21079D102,384
21079D103,764
21079D104,707
21079E101,1131
21079E103,1215
21081A101,948
21081A102,523
21081A103,1065
21081A104,645
21081A105,1089
21081A106,765
21081A107,844
21081B101,1077
21081B102,299
21081B103,489
21081B104,1034
21081B105,841
21081B106,587
21081B107,860
21081B108,652
21081C101,763
21081C102,859
21081C103,1078
21081C104,723
21081C106,521
21081C107,1153
21081C108,637
21083A101,584
21083A102,555
21083A103,623
21083A104,373
21083A105,803
21083A106,773
21083A107,960
21083A108,654
21083A109,1384
21083A110,774
21083A111,1327
21083B101,412
21083B102,585
21083B103,791
21083B104,577
21083B105,1037
21083B106,421
21083B107,636
21083B108,941
21083B109,769
21083B110,1120
21083B111,1185
21083C101,996
21083C102,995
21083C104,1461
21083C106,642
21083C107,569
21083C108,959
21083C109,1006
21083C110,1272
21085A102,720
21085A103,1588
21085A104,303
21085B101,1070
21085B102,392
21085B103,382
21085B104,293
21085B105,1004
21085C101,423
21085C102,1141
21085C103,1713
21085D101,1198
21085D102,1126
21085D103,543
21085E101,683
21085E102,1408
21085E103,337
21085E104,571
21085F101,1038
21085F103,1252
21085F105,412
21085F106,449
21087A101,1069
21087A102,553
21087A103,1040
21087A104,891
21087B101,911
21087B102,1130
21087C101,801
21087C102,722
21087D101,699
21087D102,874
21089A101,1096
21089A102,1101
21089A103,1231
21089A104,873
21089A105,788
21089A106,676
21089A107,680
21089A108,677
21089A109,1526
21089A110,1413
21089B101,830
21089B102,1059
21089B103,1124
21089B104,732
21089B105,1147
21089B107,895
21089B108,1431
21089B110,699
21089B111,1480
21089C101,825
21089C102,1071
21089C103,756
21089C104,1155
21089C105,1137
21089C106,1012
21089C107,884
21089C108,871
21089C109,768
