Precinct,race,Registered,Dem,GOP,Ind,d_pct,agg_d_pct,good_precinct,turnout
21085F105,house018,412,75,164,0,0.3138075313807531,0.3397946296194608,FALSE,0.5800970873786407
21085F106,house018,449,64,214,0,0.2302158273381295,0.3397946296194608,FALSE,0.6191536748329621
21093A009,house026,1898,167,246,0,0.4043583535108959,0.36434767817656066,TRUE,0.21759747102212856
21093B003,house026,1953,553,362,0,0.6043715846994535,0.36434767817656066,TRUE,0.4685099846390169
21093B005,house026,1054,202,325,0,0.38330170777988615,0.36434767817656066,TRUE,0.5
21093C003,house026,1431,276,579,0,0.32280701754385965,0.36434767817656066,FALSE,0.5974842767295597
21093C004,house018,1890,426,762,0,0.35858585858585856,0.3397946296194608,TRUE,0.6285714285714286
21093D003,house018,1327,336,476,0,0.41379310344827586,0.3397946296194608,TRUE,0.611906556141673
21093D004,house018,2487,614,732,0,0.4561664190193165,0.3397946296194608,TRUE,0.5412143144350623
21093D006,house026,1105,244,272,0,0.4728682170542636,0.36434767817656066,TRUE,0.4669683257918552
21093G002,house018,826,165,343,0,0.3248031496062992,0.3397946296194608,FALSE,0.6150121065375302
21093G003,house018,909,136,356,0,0.2764227642276423,0.3397946296194608,FALSE,0.5412541254125413
21093G008,house018,1649,293,645,0,0.31236673773987206,0.3397946296194608,FALSE,0.5688295936931473
21093G009,house018,1321,273,442,0,0.38181818181818183,0.3397946296194608,TRUE,0.5412566237698713
21093H001,house018,1604,322,620,0,0.34182590233545646,0.3397946296194608,TRUE,0.587281795511222
21093H004,house018,1488,316,550,0,0.3648960739030023,0.3397946296194608,TRUE,0.581989247311828
21103A101,house047,851,251,272,0,0.47992351816443596,0.37798430630530355,TRUE,0.6145710928319624
21103A102,house047,826,206,239,0,0.46292134831460674,0.37798430630530355,TRUE,0.5387409200968523
21103A103,house047,316,83,122,0,0.40487804878048783,0.37798430630530355,TRUE,0.6487341772151899
21103B101,house047,1070,239,439,0,0.3525073746312684,0.37798430630530355,FALSE,0.6336448598130842
21103B102,house047,407,79,108,0,0.42245989304812837,0.37798430630530355,TRUE,0.4594594594594595
21103B103,house047,702,158,292,0,0.3511111111111111,0.37798430630530355,FALSE,0.6410256410256411
21103C101,house047,1157,267,395,0,0.4033232628398791,0.37798430630530355,TRUE,0.5721694036300777
21103C102,house047,477,94,192,0,0.32867132867132864,0.37798430630530355,FALSE,0.59958071278826
21103C103,house047,332,79,119,0,0.398989898989899,0.37798430630530355,TRUE,0.5963855421686747
21103D101,house047,1358,273,498,0,0.3540856031128405,0.37798430630530355,FALSE,0.5677466863033873
21103D102,house047,546,121,160,0,0.4306049822064057,0.37798430630530355,TRUE,0.5146520146520146
21103E101,house047,132,38,44,0,0.4634146341463415,0.37798430630530355,TRUE,0.6212121212121212
21103E102,house047,299,54,92,0,0.3698630136986301,0.37798430630530355,FALSE,0.4882943143812709
21103E103,house047,411,72,157,0,0.314410480349345,0.37798430630530355,FALSE,0.5571776155717761
21103E104,house047,325,71,113,0,0.3858695652173913,0.37798430630530355,TRUE,0.5661538461538461
21103E105,house047,255,44,91,0,0.32592592592592595,0.37798430630530355,FALSE,0.5294117647058824
21103E106,house047,535,122,202,0,0.3765432098765432,0.37798430630530355,FALSE,0.6056074766355141
21103F101,house047,526,117,154,0,0.4317343173431734,0.37798430630530355,TRUE,0.5152091254752852
21103F102,house047,333,79,117,0,0.4030612244897959,0.37798430630530355,TRUE,0.5885885885885885
21103F103,house047,927,229,307,0,0.42723880597014924,0.37798430630530355,TRUE,0.5782092772384034
21107A004,house009,189,23,115,0,0.16666666666666666,0.2827741380451327,FALSE,0.7301587301587301
21107A005,house009,492,66,207,0,0.24175824175824176,0.2827741380451327,FALSE,0.5548780487804879
21107B008,house009,751,158,218,0,0.42021276595744683,0.2827741380451327,TRUE,0.5006657789613849
21107D026,house009,372,51,178,0,0.22270742358078602,0.2827741380451327,FALSE,0.6155913978494624
21107D027,house009,1312,229,556,0,0.2917197452229299,0.2827741380451327,TRUE,0.5983231707317073
21107D028,house009,913,166,328,0,0.3360323886639676,0.2827741380451327,TRUE,0.5410733844468785
21107E031,house009,670,119,296,0,0.28674698795180725,0.2827741380451327,TRUE,0.6194029850746269
21107E034,house009,1047,204,351,0,0.3675675675675676,0.2827741380451327,TRUE,0.5300859598853869
21107E035,house009,637,138,113,0,0.549800796812749,0.2827741380451327,TRUE,0.3940345368916798
21107E036,house009,404,74,184,0,0.2868217054263566,0.2827741380451327,TRUE,0.6386138613861386
21107F039,house009,613,108,210,0,0.33962264150943394,0.2827741380451327,TRUE,0.5187601957585645
21107F040,house009,751,107,328,0,0.24597701149425288,0.2827741380451327,FALSE,0.5792276964047937
21107F042,house009,578,107,277,0,0.2786458333333333,0.2827741380451327,FALSE,0.6643598615916955
21107F043,house009,807,172,323,0,0.3474747474747475,0.2827741380451327,TRUE,0.6133828996282528
21107G047,house009,616,119,153,0,0.4375,0.2827741380451327,TRUE,0.44155844155844154
21107G048,house009,670,161,213,0,0.4304812834224599,0.2827741380451327,TRUE,0.5582089552238806
21107G049,house009,711,138,272,0,0.33658536585365856,0.2827741380451327,TRUE,0.5766526019690577
21107G050,house009,543,82,138,0,0.37272727272727274,0.2827741380451327,TRUE,0.40515653775322286
21109A101,house089,745,62,264,0,0.1901840490797546,0.29309869255806253,FALSE,0.4375838926174497
21109A102,house089,822,77,245,0,0.2391304347826087,0.29309869255806253,FALSE,0.39172749391727496
21109A103,house089,863,71,443,0,0.13813229571984437,0.29309869255806253,FALSE,0.5955967555040557
21109A104,house089,270,31,117,0,0.20945945945945946,0.29309869255806253,FALSE,0.5481481481481482
21109A105,house089,299,30,97,0,0.23622047244094488,0.29309869255806253,FALSE,0.42474916387959866
21109A106,house089,368,33,137,0,0.19411764705882353,0.29309869255806253,FALSE,0.46195652173913043
21109B101,house089,1238,86,396,0,0.17842323651452283,0.29309869255806253,FALSE,0.3893376413570275
21109B102,house089,1407,144,596,0,0.1945945945945946,0.29309869255806253,FALSE,0.5259417199715707
21109B103,house089,1068,92,469,0,0.16399286987522282,0.29309869255806253,FALSE,0.5252808988764045
21109B104,house089,591,67,288,0,0.18873239436619718,0.29309869255806253,FALSE,0.6006768189509306
21109C101,house089,777,85,303,0,0.2190721649484536,0.29309869255806253,FALSE,0.49935649935649934
21109C102,house089,583,44,244,0,0.1527777777777778,0.29309869255806253,FALSE,0.4939965694682676
21109C103,house089,447,51,159,0,0.24285714285714285,0.29309869255806253,FALSE,0.4697986577181208
21109C104,house089,426,38,218,0,0.1484375,0.29309869255806253,FALSE,0.6009389671361502
21111B124,house029,1054,306,367,0,0.45468053491827637,0.4495187024746165,TRUE,0.6385199240986718
21111B132,house029,1120,326,501,0,0.3941958887545345,0.4495187024746165,FALSE,0.7383928571428572
21111B133,house029,1427,434,499,0,0.46516613076098606,0.4495187024746165,TRUE,0.6538192011212334
21111B134,house029,2006,620,700,0,0.4696969696969697,0.4495187024746165,TRUE,0.6580259222333001
21111B149,house029,963,244,312,0,0.43884892086330934,0.4495187024746165,FALSE,0.5773624091381101
21111B151,house029,1505,494,572,0,0.4634146341463415,0.4495187024746165,TRUE,0.7083056478405315
21111B153,house029,82,21,36,0,0.3684210526315789,0.4495187024746165,FALSE,0.6951219512195121
21111B154,house029,1278,375,352,0,0.515818431911967,0.4495187024746165,TRUE,0.5688575899843505
21111B155,house029,965,292,258,0,0.5309090909090909,0.4495187024746165,TRUE,0.5699481865284974
21111B156,house029,1478,505,486,0,0.5095862764883956,0.4495187024746165,TRUE,0.6705006765899865
21111B157,house029,2032,657,657,0,0.5,0.4495187024746165,TRUE,0.6466535433070866
21111B158,house029,1413,340,588,0,0.36637931034482757,0.4495187024746165,FALSE,0.656758669497523
21111B159,house029,2118,659,801,0,0.45136986301369864,0.4495187024746165,TRUE,0.6893295561850803
21111B160,house029,784,229,286,0,0.4446601941747573,0.4495187024746165,FALSE,0.6568877551020408
21111B161,house029,134,32,62,0,0.3404255319148936,0.4495187024746165,FALSE,0.7014925373134329
21111B162,house029,1470,347,586,0,0.37191854233654875,0.4495187024746165,FALSE,0.6346938775510204
21111B163,house029,1517,518,428,0,0.547568710359408,0.4495187024746165,TRUE,0.6235992089650626
21111B166,house029,913,307,283,0,0.5203389830508475,0.4495187024746165,TRUE,0.6462212486308871
21111B168,house029,1329,408,493,0,0.4528301886792453,0.4495187024746165,TRUE,0.6779533483822423
21111B169,house029,1026,294,366,0,0.44545454545454544,0.4495187024746165,FALSE,0.6432748538011696
21111B170,house029,895,286,320,0,0.47194719471947194,0.4495187024746165,TRUE,0.6770949720670391
21111B172,house029,1835,536,734,0,0.4220472440944882,0.4495187024746165,FALSE,0.6920980926430518
21111B173,house029,1255,388,492,0,0.4409090909090909,0.4495187024746165,FALSE,0.701195219123506
21111B175,house029,1210,352,460,0,0.43349753694581283,0.4495187024746165,FALSE,0.6710743801652893
21111B177,house029,1206,308,554,0,0.35730858468677495,0.4495187024746165,FALSE,0.714759535655058
21111B181,house029,164,48,66,0,0.42105263157894735,0.4495187024746165,FALSE,0.6951219512195121
21111B182,house029,726,207,314,0,0.39731285988483683,0.4495187024746165,FALSE,0.7176308539944903
21111B183,house029,1893,530,784,0,0.4033485540334855,0.4495187024746165,FALSE,0.694136291600634
21111B184,house029,26,6,14,0,0.3,0.4495187024746165,FALSE,0.7692307692307693
21111B185,house029,539,158,153,0,0.5080385852090032,0.4495187024746165,TRUE,0.5769944341372912
21111E139,house032,1532,363,176,0,0.673469387755102,0.4928071171682756,TRUE,0.3518276762402089
